date,title,url
2025-03-23,USDA releases 2025 crop production report,https://www.example.com/news/0001
2025-01-04,Volatility in futures market drives coffee uncertainty,https://www.example.com/news/0002
2025-02-05,Climate change threatens coffee production long-term,https://www.example.com/news/0003
2025-01-29,Shipping delays impact coffee importers,https://www.example.com/news/0004
2025-01-14,New USDA undersecretary discusses coffee trade policy,https://www.example.com/news/0005
2025-03-11,Robusta export numbers rise sharply in Vietnam,https://www.example.com/news/0006
2025-03-17,Flooding damages key coffee-growing regions,https://www.example.com/news/0007
2025-01-05,Coffee futures surge after drought hits Brazil,https://www.example.com/news/0008
2025-01-12,Rainy season boosts Colombian coffee yields,https://www.example.com/news/0009
2025-01-30,Dry weather pushes coffee prices higher,https://www.example.com/news/0010
2025-03-19,Coffee futures surge after drought hits Brazil,https://www.example.com/news/0011
2025-03-13,Rainy season boosts Colombian coffee yields,https://www.example.com/news/0012
2025-03-25,ICCO releases monthly coffee bulletin,https://www.example.com/news/0013
2025-03-11,Flooding damages key coffee-growing regions,https://www.example.com/news/0014
2025-01-29,Nestlé invests in AI-driven coffee roasting system,https://www.example.com/news/0015
2025-03-17,World Coffee Portal predicts market stabilization,https://www.example.com/news/0016
2025-01-01,Rain improves harvest expectations in Peru,https://www.example.com/news/0017
2025-01-21,ICCO releases monthly coffee bulletin,https://www.example.com/news/0018
2025-02-24,New trade deal affects Latin American coffee exports,https://www.example.com/news/0019
2025-02-05,Shipping delays impact coffee importers,https://www.example.com/news/0020
2025-01-28,Rain improves harvest expectations in Peru,https://www.example.com/news/0021
2025-02-13,USDA releases 2025 crop production report,https://www.example.com/news/0022
2025-01-12,Robusta beans face logistical issues,https://www.example.com/news/0023
2025-01-13,Commodity prices drop in early February trading,https://www.example.com/news/0024
2025-02-14,Arabica climbs on strong demand forecasts,https://www.example.com/news/0025
2025-02-03,Arabica prices decline amid oversupply concerns,https://www.example.com/news/0026
2025-02-28,Brazil announces export tax changes for agriculture,https://www.example.com/news/0027
2025-01-16,Robusta beans face logistical issues,https://www.example.com/news/0028
2025-01-11,Brazil announces export tax changes for agriculture,https://www.example.com/news/0029
2025-02-07,Colombian farmers protest over fuel subsidies,https://www.example.com/news/0030
2025-03-21,Commodity prices drop in early February trading,https://www.example.com/news/0031
2025-03-15,Rainy season boosts Colombian coffee yields,https://www.example.com/news/0032
2025-01-09,Arabica prices decline amid oversupply concerns,https://www.example.com/news/0033
2025-03-26,Climate change threatens coffee production long-term,https://www.example.com/news/0034
2025-02-07,Robusta export numbers rise sharply in Vietnam,https://www.example.com/news/0035
2025-01-30,USDA releases 2025 crop production report,https://www.example.com/news/0036
2025-02-18,World Coffee Portal predicts market stabilization,https://www.example.com/news/0037
2025-02-28,Colombian farmers protest over fuel subsidies,https://www.example.com/news/0038
2025-02-16,New coffee processing technology announced,https://www.example.com/news/0039
2025-02-17,Commodity prices drop in early February trading,https://www.example.com/news/0040
2025-01-27,New USDA undersecretary discusses coffee trade policy,https://www.example.com/news/0041
2025-02-04,ICCO releases monthly coffee bulletin,https://www.example.com/news/0042
2025-03-29,Colombian farmers protest over fuel subsidies,https://www.example.com/news/0043
2025-01-10,Arabica climbs on strong demand forecasts,https://www.example.com/news/0044
2025-03-23,New coffee processing technology announced,https://www.example.com/news/0045
2025-03-10,Volatility in futures market drives coffee uncertainty,https://www.example.com/news/0046
2025-02-01,New coffee processing technology announced,https://www.example.com/news/0047
2025-03-01,Robusta beans face logistical issues,https://www.example.com/news/0048
2025-02-04,Colombian farmers protest over fuel subsidies,https://www.example.com/news/0049
2025-03-30,Brazil announces export tax changes for agriculture,https://www.example.com/news/0050
2025-01-29,New USDA undersecretary discusses coffee trade policy,https://www.example.com/news/0051
2025-02-11,Rain improves harvest expectations in Peru,https://www.example.com/news/0052
2025-01-08,Climate change threatens coffee production long-term,https://www.example.com/news/0053
2025-01-05,New trade deal affects Latin American coffee exports,https://www.example.com/news/0054
2025-02-21,World Coffee Portal predicts market stabilization,https://www.example.com/news/0055
2025-01-09,Rainy season boosts Colombian coffee yields,https://www.example.com/news/0056
2025-03-14,ICCO releases monthly coffee bulletin,https://www.example.com/news/0057
2025-02-10,Rainy season boosts Colombian coffee yields,https://www.example.com/news/0058
2025-03-25,Coffee farmers demand higher minimum price,https://www.example.com/news/0059
2025-02-20,Colombian farmers protest over fuel subsidies,https://www.example.com/news/0060
2025-02-28,Shipping delays impact coffee importers,https://www.example.com/news/0061
2025-02-03,Shipping delays impact coffee importers,https://www.example.com/news/0062
2025-02-01,Volatility in futures market drives coffee uncertainty,https://www.example.com/news/0063
2025-03-13,Brazil announces export tax changes for agriculture,https://www.example.com/news/0064
2025-02-03,Volatility in futures market drives coffee uncertainty,https://www.example.com/news/0065
2025-03-16,Flooding damages key coffee-growing regions,https://www.example.com/news/0066
2025-03-16,Robusta beans face logistical issues,https://www.example.com/news/0067
2025-02-16,Climate change threatens coffee production long-term,https://www.example.com/news/0068
2025-01-18,Dry weather pushes coffee prices higher,https://www.example.com/news/0069
2025-03-05,Robusta export numbers rise sharply in Vietnam,https://www.example.com/news/0070
2025-01-07,USDA releases 2025 crop production report,https://www.example.com/news/0071
2025-01-20,Colombian farmers protest over fuel subsidies,https://www.example.com/news/0072
2025-01-21,New USDA undersecretary discusses coffee trade policy,https://www.example.com/news/0073
2025-02-24,Arabica climbs on strong demand forecasts,https://www.example.com/news/0074
2025-01-09,Robusta beans face logistical issues,https://www.example.com/news/0075
2025-02-18,Arabica climbs on strong demand forecasts,https://www.example.com/news/0076
2025-03-01,Dry weather pushes coffee prices higher,https://www.example.com/news/0077
2025-02-02,Brazil announces export tax changes for agriculture,https://www.example.com/news/0078
2025-01-02,New USDA undersecretary discusses coffee trade policy,https://www.example.com/news/0079
2025-01-15,New USDA undersecretary discusses coffee trade policy,https://www.example.com/news/0080
2025-03-10,Rain improves harvest expectations in Peru,https://www.example.com/news/0081
2025-02-04,Rain improves harvest expectations in Peru,https://www.example.com/news/0082
2025-03-24,New trade deal affects Latin American coffee exports,https://www.example.com/news/0083
2025-01-15,Starbucks CEO discusses new sustainability strategy,https://www.example.com/news/0084
2025-02-25,New coffee processing technology announced,https://www.example.com/news/0085
2025-02-28,Coffee futures surge after drought hits Brazil,https://www.example.com/news/0086
2025-02-03,Dry weather pushes coffee prices higher,https://www.example.com/news/0087
2025-01-23,Dry weather pushes coffee prices higher,https://www.example.com/news/0088
2025-01-14,Colombian farmers protest over fuel subsidies,https://www.example.com/news/0089
2025-02-08,Colombian farmers protest over fuel subsidies,https://www.example.com/news/0090
2025-03-06,Arabica climbs on strong demand forecasts,https://www.example.com/news/0091
2025-01-26,Shipping delays impact coffee importers,https://www.example.com/news/0092
2025-02-17,Rain improves harvest expectations in Peru,https://www.example.com/news/0093
2025-01-21,Brazil announces export tax changes for agriculture,https://www.example.com/news/0094
2025-03-09,Coffee futures surge after drought hits Brazil,https://www.example.com/news/0095
2025-03-18,New trade deal affects Latin American coffee exports,https://www.example.com/news/0096
2025-03-04,Coffee futures surge after drought hits Brazil,https://www.example.com/news/0097
2025-01-15,Commodity prices drop in early February trading,https://www.example.com/news/0098
2025-02-09,Climate change threatens coffee production long-term,https://www.example.com/news/0099
2025-01-08,Climate change threatens coffee production long-term,https://www.example.com/news/0100
